# Mg I-XI ionisation fractions under collisional ionisation equilibrium. Extracted from CHIANTI database.
#   Temp        MgI          MgII         MgIII        MgIV         MgV          MgVI         MgVII        MgVIII       MgIX         MgX          MgXI
  1.77828e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.06300e-17  3.24700e-13  2.29000e-09  5.64700e-06
  1.99526e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.04300e-17  1.87200e-13  1.51200e-09  4.27400e-06
  2.23872e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.30300e-18  1.08500e-13  1.00300e-09  3.24700e-06
  2.51189e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.71000e-18  6.31400e-14  6.68100e-10  2.47500e-06
  2.81838e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.39200e-18  3.69000e-14  4.46600e-10  1.89300e-06
  3.16228e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.17600e-19  2.16500e-14  2.99500e-10  1.45200e-06
  3.54813e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.71600e-19  1.27500e-14  2.01500e-10  1.11600e-06
  3.98107e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.93100e-19  7.52900e-15  1.35900e-10  8.60300e-07
  4.46684e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00700e-19  4.46100e-15  9.19300e-11  6.64500e-07
  5.01187e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.26900e-20  2.65100e-15  6.23200e-11  5.14300e-07
  5.62341e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.76600e-20  1.57900e-15  4.23500e-11  3.98700e-07
  6.30957e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.45600e-20  9.43200e-16  2.88400e-11  3.09700e-07
  7.07946e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.64700e-16  1.96800e-11  2.40900e-07
  7.94328e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.38900e-16  1.34600e-11  1.87700e-07
  8.91251e+08  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.03800e-16  9.21800e-12  1.46400e-07
  1.00000e+09  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.22800e-16  6.32400e-12  1.14400e-07
